file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
0_s_6_d_4_cn_5_ct_5_com_0_con.mdg,1.5315744657858765,0,30,20,25,25,0
0_s_0_d_17_cn_0_ct_3_com_0_con.mdg,1.9221831688908206,0,0,85,0,15,0
0_s_6_d_8_cn_0_ct_6_com_0_con.mdg,1.7014180500858807,0,30,40,0,30,0
0_s_7_d_6_cn_2_ct_5_com_0_con.mdg,1.7823981628112004,0,35,30,10,25,0
0_s_8_d_10_cn_1_ct_1_com_0_con.mdg,1.9394400408858639,0,40,50,5,5,0
0_s_2_d_7_cn_4_ct_7_com_0_con.mdg,1.3924330002192202,0,10,35,20,35,0
0_s_10_d_10_cn_0_ct_0_com_0_con.mdg,2.3977010948451714,0,50,50,0,0,0
0_s_5_d_3_cn_4_ct_8_com_0_con.mdg,1.5648952946332075,0,25,15,20,40,0
0_s_10_d_0_cn_0_ct_10_com_0_con.mdg,2.015756300001995,0,50,0,0,50,0
0_s_10_d_1_cn_4_ct_5_com_0_con.mdg,1.552057101564225,0,50,5,20,25,0
0_s_2_d_1_cn_1_ct_16_com_0_con.mdg,1.7869428645038803,0,10,5,5,80,0
0_s_9_d_4_cn_5_ct_2_com_0_con.mdg,1.5981068768280386,0,45,20,25,10,0
0_s_1_d_17_cn_0_ct_2_com_0_con.mdg,1.9825414009397186,0,5,85,0,10,0
0_s_9_d_10_cn_1_ct_0_com_0_con.mdg,1.9969836379067663,0,45,50,5,0,0
0_s_13_d_6_cn_1_ct_0_com_0_con.mdg,2.296920683334509,0,65,30,5,0,0
0_s_10_d_4_cn_0_ct_6_com_0_con.mdg,2.0948244445021857,0,50,20,0,30,0
0_s_2_d_7_cn_3_ct_8_com_0_con.mdg,1.6037579340544672,0,10,35,15,40,0
0_s_3_d_9_cn_5_ct_3_com_0_con.mdg,1.5454741134666048,0,15,45,25,15,0
0_s_2_d_3_cn_1_ct_14_com_0_con.mdg,1.7560303877541585,0,10,15,5,70,0
0_s_7_d_3_cn_1_ct_9_com_0_con.mdg,1.8502324806649053,0,35,15,5,45,0
0_s_3_d_5_cn_4_ct_8_com_0_con.mdg,1.5312960565142515,0,15,25,20,40,0
0_s_1_d_5_cn_7_ct_7_com_0_con.mdg,1.3986855470575184,0,5,25,35,35,0
0_s_4_d_10_cn_2_ct_4_com_0_con.mdg,1.7606118677274725,0,20,50,10,20,0
0_s_2_d_7_cn_2_ct_9_com_0_con.mdg,1.6467972867529688,0,10,35,10,45,0
0_s_6_d_4_cn_7_ct_3_com_0_con.mdg,1.4373709208737624,0,30,20,35,15,0
0_s_3_d_17_cn_0_ct_0_com_0_con.mdg,2.1432516711615017,0,15,85,0,0,0
0_s_10_d_1_cn_5_ct_4_com_0_con.mdg,1.4976959942506003,0,50,5,25,20,0
0_s_0_d_3_cn_1_ct_16_com_0_con.mdg,1.7311421705810297,0,0,15,5,80,0
0_s_9_d_4_cn_4_ct_3_com_0_con.mdg,1.6600777503916029,0,45,20,20,15,0
0_s_16_d_2_cn_2_ct_0_com_0_con.mdg,1.9292065797752582,0,80,10,10,0,0
0_s_9_d_0_cn_0_ct_11_com_0_con.mdg,1.9885553931765545,0,45,0,0,55,0
0_s_13_d_6_cn_0_ct_1_com_0_con.mdg,2.4544824395692006,0,65,30,0,5,0
0_s_8_d_6_cn_3_ct_3_com_0_con.mdg,1.7421057234152386,0,40,30,15,15,0
0_s_9_d_10_cn_0_ct_1_com_0_con.mdg,2.2661829056282334,0,45,50,0,5,0
0_s_11_d_3_cn_2_ct_4_com_0_con.mdg,1.8767243500278252,0,55,15,10,20,0
0_s_4_d_8_cn_7_ct_1_com_0_con.mdg,1.4685140328034736,0,20,40,35,5,0
0_s_3_d_1_cn_15_ct_1_com_0_con.mdg,1.1214167443958607,0,15,5,75,5,0
0_s_2_d_7_cn_5_ct_6_com_0_con.mdg,1.5000301522094586,0,10,35,25,30,0
0_s_6_d_2_cn_0_ct_12_com_0_con.mdg,1.9673251498825373,0,30,10,0,60,0
