project,file_name,ground_truth,MoJoFM,MoJoFM-D,MovesAndJoins,MaxDistance,static,dynamic,class_names,class_terms,commits,contributors
everest,0_s_5_d_6_cn_8_ct_1_com_0_con.mdg0_s_5_d_6_cn_8_ct_1_com_0_con.mdg.bunch,everest_4.rsf,66.66666666666667,50.0,3.0,9.0,0,25,30,40,5,0
everest,0_s_0_d_6_cn_10_ct_4_com_0_con.mdg0_s_0_d_6_cn_10_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,30,50,20,0
everest,0_s_9_d_9_cn_0_ct_2_com_0_con.mdg0_s_9_d_9_cn_0_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,45,45,0,10,0
everest,0_s_6_d_1_cn_1_ct_12_com_0_con.mdg0_s_6_d_1_cn_1_ct_12_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,5,5,60,0
everest,0_s_3_d_9_cn_6_ct_2_com_0_con.mdg0_s_3_d_9_cn_6_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,45,30,10,0
everest,0_s_1_d_0_cn_13_ct_6_com_0_con.mdg0_s_1_d_0_cn_13_ct_6_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,0,65,30,0
everest,0_s_11_d_3_cn_2_ct_4_com_0_con.mdg0_s_11_d_3_cn_2_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,55,15,10,20,0
everest,0_s_6_d_0_cn_9_ct_5_com_0_con.mdg0_s_6_d_0_cn_9_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,0,45,25,0
everest,0_s_12_d_1_cn_2_ct_5_com_0_con.mdg0_s_12_d_1_cn_2_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,60,5,10,25,0
everest,0_s_0_d_7_cn_5_ct_8_com_0_con.mdg0_s_0_d_7_cn_5_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,35,25,40,0
everest,0_s_5_d_9_cn_4_ct_2_com_0_con.mdg0_s_5_d_9_cn_4_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,45,20,10,0
everest,0_s_5_d_4_cn_9_ct_2_com_0_con.mdg0_s_5_d_4_cn_9_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,20,45,10,0
everest,0_s_5_d_0_cn_9_ct_6_com_0_con.mdg0_s_5_d_0_cn_9_ct_6_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,0,45,30,0
everest,0_s_0_d_2_cn_16_ct_2_com_0_con.mdg0_s_0_d_2_cn_16_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,10,80,10,0
everest,0_s_0_d_18_cn_1_ct_1_com_0_con.mdg0_s_0_d_18_cn_1_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,90,5,5,0
everest,0_s_6_d_4_cn_9_ct_1_com_0_con.mdg0_s_6_d_4_cn_9_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,20,45,5,0
everest,0_s_2_d_13_cn_1_ct_4_com_0_con.mdg0_s_2_d_13_cn_1_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,65,5,20,0
everest,0_s_2_d_2_cn_6_ct_10_com_0_con.mdg0_s_2_d_2_cn_6_ct_10_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,10,30,50,0
everest,0_s_11_d_4_cn_1_ct_4_com_0_con.mdg0_s_11_d_4_cn_1_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,55,20,5,20,0
everest,0_s_6_d_9_cn_4_ct_1_com_0_con.mdg0_s_6_d_9_cn_4_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,45,20,5,0
everest,0_s_0_d_9_cn_1_ct_10_com_0_con.mdg0_s_0_d_9_cn_1_ct_10_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,45,5,50,0
everest,0_s_8_d_0_cn_11_ct_1_com_0_con.mdg0_s_8_d_0_cn_11_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,40,0,55,5,0
everest,0_s_5_d_0_cn_3_ct_12_com_0_con.mdg0_s_5_d_0_cn_3_ct_12_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,0,15,60,0
everest,0_s_3_d_5_cn_4_ct_8_com_0_con.mdg0_s_3_d_5_cn_4_ct_8_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,25,20,40,0
everest,0_s_7_d_7_cn_1_ct_5_com_0_con.mdg0_s_7_d_7_cn_1_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,35,5,25,0
everest,0_s_3_d_7_cn_10_ct_0_com_0_con.mdg0_s_3_d_7_cn_10_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,35,50,0,0
everest,0_s_2_d_5_cn_11_ct_2_com_0_con.mdg0_s_2_d_5_cn_11_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,25,55,10,0
everest,0_s_1_d_4_cn_15_ct_0_com_0_con.mdg0_s_1_d_4_cn_15_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,20,75,0,0
everest,0_s_5_d_2_cn_8_ct_5_com_0_con.mdg0_s_5_d_2_cn_8_ct_5_com_0_con.mdg.bunch,everest_7.rsf,62.5,45.45454545454546,3.0,8.0,0,25,10,40,25,0
everest,0_s_6_d_2_cn_8_ct_4_com_0_con.mdg0_s_6_d_2_cn_8_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,10,40,20,0
everest,0_s_6_d_12_cn_2_ct_0_com_0_con.mdg0_s_6_d_12_cn_2_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,60,10,0,0
everest,0_s_10_d_4_cn_1_ct_5_com_0_con.mdg0_s_10_d_4_cn_1_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,50,20,5,25,0
everest,0_s_5_d_7_cn_7_ct_1_com_0_con.mdg0_s_5_d_7_cn_7_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,35,35,5,0
everest,0_s_0_d_4_cn_14_ct_2_com_0_con.mdg0_s_0_d_4_cn_14_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,20,70,10,0
everest,0_s_6_d_7_cn_7_ct_0_com_0_con.mdg0_s_6_d_7_cn_7_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,35,35,0,0
everest,0_s_5_d_1_cn_4_ct_10_com_0_con.mdg0_s_5_d_1_cn_4_ct_10_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,25,5,20,50,0
everest,0_s_1_d_1_cn_0_ct_18_com_0_con.mdg0_s_1_d_1_cn_0_ct_18_com_0_con.mdg.bunch,everest_6.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,5,0,90,0
everest,0_s_0_d_7_cn_0_ct_13_com_0_con.mdg0_s_0_d_7_cn_0_ct_13_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,35,0,65,0
everest,0_s_3_d_15_cn_0_ct_2_com_0_con.mdg0_s_3_d_15_cn_0_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,15,75,0,10,0
everest,0_s_2_d_0_cn_4_ct_14_com_0_con.mdg0_s_2_d_0_cn_4_ct_14_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,0,20,70,0
everest,0_s_2_d_3_cn_13_ct_2_com_0_con.mdg0_s_2_d_3_cn_13_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,10,15,65,10,0
everest,0_s_0_d_8_cn_9_ct_3_com_0_con.mdg0_s_0_d_8_cn_9_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,0,40,45,15,0
everest,0_s_9_d_7_cn_3_ct_1_com_0_con.mdg0_s_9_d_7_cn_3_ct_1_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,45,35,15,5,0
everest,0_s_4_d_0_cn_12_ct_4_com_0_con.mdg0_s_4_d_0_cn_12_ct_4_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,0,60,20,0
everest,0_s_6_d_5_cn_6_ct_3_com_0_con.mdg0_s_6_d_5_cn_6_ct_3_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,30,25,30,15,0
everest,0_s_4_d_9_cn_2_ct_5_com_0_con.mdg0_s_4_d_9_cn_2_ct_5_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,45,10,25,0
everest,0_s_7_d_3_cn_1_ct_9_com_0_con.mdg0_s_7_d_3_cn_1_ct_9_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,35,15,5,45,0
everest,0_s_1_d_2_cn_17_ct_0_com_0_con.mdg0_s_1_d_2_cn_17_ct_0_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,5,10,85,0,0
everest,0_s_4_d_11_cn_3_ct_2_com_0_con.mdg0_s_4_d_11_cn_3_ct_2_com_0_con.mdg.bunch,everest_4.rsf,55.55555555555556,41.666666666666664,4.0,9.0,0,20,55,15,10,0
