mongodb.MongoShipmentRepository,OrderRepository,4,4,3
mongodb.MongoShipmentRepository,ShipmentRepository,1,1,1
mongodb.MongoShipmentRepository,TestPath,1,1,1
OrderRepository,BadRequestException,2,2,1
OrderRepository,Order,6,6,1
OrderRepository,OrderStatus,2,2,1
OrderRepository,OrderUpdateInfo,1,1,1
QuoteRepository,BadRequestException,1,1,1
QuoteRepository,Quote,5,5,1
RepositoryFactory,OrderingConfiguration,1,1,1
RepositoryFactory,CatalogItemsRepository,1,1,1
RepositoryFactory,DealersRepository,1,1,1
RepositoryFactory,mongodb.MongoCatalogItemsRepository,2,1,2
RepositoryFactory,mongodb.MongoDealersRepository,2,1,2
RepositoryFactory,mongodb.MongoOrderRepository,2,1,2
RepositoryFactory,mongodb.MongoQuoteRepository,2,1,2
RepositoryFactory,mongodb.MongoShipmentRepository,2,1,2
RepositoryFactory,OrderRepository,1,1,1
RepositoryFactory,QuoteRepository,1,1,1
RepositoryFactory,ShipmentRepository,1,1,1
RepositoryFactory,CatalogItemsRepository,1,1,1
RepositoryFactory,DealersRepository,1,1,1
RepositoryFactory,OrderRepository,1,1,1
RepositoryFactory,QuoteRepository,1,1,1
RepositoryFactory,ShipmentRepository,1,1,1
ShipmentRepository,BadRequestException,1,1,1
ShipmentRepository,OrderStatus,1,1,1
ShipmentRepository,ShipmentEventInfo,1,1,1
ShipmentRepository,ShipmentRecord,5,5,1
Utility,OrderingConfiguration,1,1,1
