file_name,MQ_Value,static,dynamic,class_names,class_terms,commits,contributors
11_s_5_d_4_cn_0_ct_0_com_0_con.mdg,3.7435859267194007,55,25,20,0,0,0
11_s_2_d_0_cn_7_ct_0_com_0_con.mdg,2.7265402149597753,55,10,0,35,0,0
11_s_8_d_1_cn_0_ct_0_com_0_con.mdg,3.543817123710251,55,40,5,0,0,0
11_s_0_d_5_cn_4_ct_0_com_0_con.mdg,2.913416940404815,55,0,25,20,0,0
11_s_2_d_2_cn_5_ct_0_com_0_con.mdg,2.7759642151998847,55,10,10,25,0,0
11_s_1_d_0_cn_8_ct_0_com_0_con.mdg,2.6874401623861344,55,5,0,40,0,0
11_s_3_d_6_cn_0_ct_0_com_0_con.mdg,3.850657503083302,55,15,30,0,0,0
11_s_4_d_0_cn_5_ct_0_com_0_con.mdg,2.832276960868151,55,20,0,25,0,0
11_s_5_d_2_cn_2_ct_0_com_0_con.mdg,3.0501352950633294,55,25,10,10,0,0
11_s_3_d_4_cn_2_ct_0_com_0_con.mdg,3.1824681018879812,55,15,20,10,0,0
11_s_1_d_8_cn_0_ct_0_com_0_con.mdg,3.9403236269448265,55,5,40,0,0,0
11_s_0_d_3_cn_6_ct_0_com_0_con.mdg,2.71222358391584,55,0,15,30,0,0
11_s_3_d_1_cn_5_ct_0_com_0_con.mdg,2.792697819286919,55,15,5,25,0,0
11_s_1_d_5_cn_3_ct_0_com_0_con.mdg,3.0604968091971196,55,5,25,15,0,0
11_s_2_d_7_cn_0_ct_0_com_0_con.mdg,3.897175382580245,55,10,35,0,0,0
11_s_0_d_1_cn_8_ct_0_com_0_con.mdg,2.6500395559719876,55,0,5,40,0,0
11_s_1_d_2_cn_6_ct_0_com_0_con.mdg,2.718629942639739,55,5,10,30,0,0
11_s_0_d_9_cn_0_ct_0_com_0_con.mdg,3.979689664453945,55,0,45,0,0,0
11_s_2_d_5_cn_2_ct_0_com_0_con.mdg,3.2439743522017936,55,10,25,10,0,0
11_s_4_d_3_cn_2_ct_0_com_0_con.mdg,3.1162651701330972,55,20,15,10,0,0
11_s_1_d_7_cn_1_ct_0_com_0_con.mdg,3.5903205743017272,55,5,35,5,0,0
11_s_7_d_1_cn_1_ct_0_com_0_con.mdg,3.2204038720630437,55,35,5,5,0,0
11_s_0_d_6_cn_3_ct_0_com_0_con.mdg,3.1171443870643185,55,0,30,15,0,0
